"Repair","Reparatur"
"Warranty","Gew√§hrleistung"
"Search entire store here...","Suchbegriff eingeben..."
"My Account","Mein Konto"
"My Cart","Warenkorb"

"Checkout","Zur Kasse"
"Proceed to Checkout","Weiter zur Kasse"
"Log In","Anmeldung"
"Log Out","Abmelden"
"Company Profile","√ºBER UNS"
"Service and Support","Service und Support"
"Related Products","verwandte produkte"
"Sort By","Sortierung"
"per page","je Seite"
"Show","Zeige"
"View as: ","Anzeige als"
"Shopping Cart is Empty","Sie haben keine Produkte in Ihrem Warenkorb"
"Categories","Unsere Katogorien"
"Refurbished to Manufacturer specification","General√ºberholtes Gebrauchtger√§t"
"Extended Warranty Available","Verl√§ngerung der Gew√§hrleistung gegen Aufpreis m√∂glich"
"Please call us for any questions related to this item.","Bitte rufen Sie uns bei etwaigen Fragen zu diesem Produkt an"
"Turn around time 3-5 days","Durchlaufzeit 3-5 Arbeitstage"
"Available in 2 to 3 days","Verf√ºgbar in 2-3 Tagen"
"Depot Repair","Depot Reparatur"
"Free Cost Estimates ","Kostenfreie Kostenvoranschl√§ge"
"please add our repair order when you send us your device","Bitte legen Sie dem Ger√§t unseren <a href="http://www.top10ten.de/fileadmin/pdfs/07-Reparaturauftrag-D.pdf target="_blank" class="download">Reparaturauftrag</a> bei
"Server","Server"
"You have no items in your shopping cart.","Es sind keine Produkte in Ihrem Warenkorb"
"New Customers","Neukunde"
"Login or Create an Account","Anmeldung oder Erstellung eines neuen Kundenkontos"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Erstellen Sie sich einen Account in unserem Online Shop und nutzen Sie zahlreiche Vorteile."
"Registered Customers","Bestandskunde"
"If you have an account with us, please log in.",""
"* Required Fields","* Pflichtfelder"
"Forgot Your Password?","Sie haben Ihr Passwort vergessen?"
"Create an Account","Konto erstellen"
"Login","Anmelden"
"Email Address","Geben Sie Ihre E-Mail-Adresse ein"
"Password","Passwort"
"Personal Information","Bitte tragen Sie Ihre pers√∂nlichen Daten ein"
"Prefix","Anrede:"
"First Name","Vorname"
"Last Name","Nachname"
"Tax/VAT number","USt-IdNr."
"Login Information","Passwort"
"Confirm Password","Passwort Wiederholung"
"Submit","√ºbermitteln"
"Mr","Herr"
"Ms","Frau"
"Mrs",""
"Retrieve your password here","Passwort anfordern"
"Please enter your email address below. You will receive a link to reset your password.","Bitte tragen Sie Ihre E-Mail Adresse ein. Sie erhalten einen Link um Ihr Passwort zur√ºck zusetzen."
"Reset a Password","Passwort zur√ºcksetzen"
"New Password","Neues Passwort"
"Confirm New Password","Neues Passwort best√§tigen"
"Reset a Password","Passwort zur√ºcksetzen"
"Your password has been updated.","Ihr Passwort wurde aktualisiert"
"Your password reset link has expired.","Ihr Link f¸r die Passwort Zur√ºcksetzung ist nicht mehr g√ºltig."
"Account Dashbord",""
"Account Information","Konto Informationen"
"My Orders","Meine Bestellungen"
"Edit","√§ndern"
"Change Password","Passwort √§ndern"
"Edit Address","Adresse √§ndern"
"Manage Addresses","Adressen verwalten"
"Contact Information","Kontakt Informationen"
"Address Book","Adressbuch"
"Account Dashboard","Konto &Uumlbersicht"
"My Dashboard","Ihre Konto &Uumlbersicht"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","In Ihrer Konto√ºbersicht haben Sie die M√∂glichkeit Ihre Konto Informationen zu √§ndern und Ihre Kontoaktivit√§ten einzusehen."
"Default Billing Address","Standard Rechnungsadresse"
"Default Shipping Address","Standard Lieferadresse"
"You have not set a default billing address.","Sie haben keine Rechnungsadresse hinterlegt"
"You have not set a default shipping address.","Sie haben keine Lieferadresse hinterlegt"
"Additional Address Entries","Zus√§tzliche Adressen"
"You have no additional address entries in your address book.","Sie haben keine zus√§tzlichen Adressen hinterlegt."
"Save Address","Adresse speichern"
"Use as my default billing address","Als Rechnungsadresse verwenden"
"Use as my default shipping address","Als Lieferadresse verwenden"
"The address has been saved.","Die Adresse wurde gespeichert"
"Default Addresses","Standard Adresse"
"Change Billing Address","Rechnungsadresse √§ndern"
"Change Shipping Address","Lieferadresse √§ndern"
"Delete Address","Adresse l√∂schen"
"Edit Account Information","Konto Informationen bearbeiten"
"Save","Speichern"
"Add New Address","Neue Adresse hinzuf√ºgen"
"Address","Adresse"
"Street Address","Strasse"
"City","Stadt"
"State/Province","Bundesland"
"Zip/Postal Code","Postleitzahl"
"Country","Land"
"Save Adress","Adresse speichern"
"Company","Firma"
"Telephone","Telefon"
"Fax","Fax"
"You have placed no orders.","Sie haben noch keine Bestellung get√§tigt."
"Recently Viewed Products","Zuletzt aufgerufene Produkte"
"Recurring Profiles","Wiederkehrende Profile"
"There are no recurring profiles yet.","Keine Wiederkehrenden Profile vorhanden"
"Billing Agreements","Zahlungsbedingungen"
"There are no billing agreements yet.","Keine Zahlungsbedingungen vorhanden."
"Billing Information","Rechnungsinformationen"
"Shipping Information","Versandinformationen"
"Shipping Method","Versandart"
"Payment Information","Zahlungsinformationen"
"Select a billing address from your address book or enter a new address.","W√§hlen Sie eine Rechnungsadresse aus Ihrem Adressbuch, oder f√§gen Sie eine neue Adresse hinzu."
"Ship to this address","An diese Adresse versenden"
"Ship to different address","An eine andere Adresse versenden"
"Continue","Fortfahren"

"Order Review"
"Add to Cart","Zum Warenkorb"
"Qty in Stock:","Anzahl auf Lager:"
"Qty:","Stk:"
"was added to your shopping cart.","wurde Ihrem Warenkorb hinzugef√ºgt"
"Shopping Cart","Warenkorb"
"Product Name","Produkt Name"
"Unit Price","St√ºckpreis"
"Qty","Stk"
"Subtotal","Zwischensumme"
"Cart Subtotal:","Zwischensumme"
"Recently added item(s)","Hinzugef√ºgte Artikel"

"Continue Shopping","Weiter Einkaufen"
"Update Shopping Cart","Warenkorb aktualisieren"
"Clear Shopping Cart","Warenkorb leeren"
"Tax","MwSt"
"Grand Total","Gesamtsumme"
"Grand Total Excl. Tax","Gesamtsumme exkl. Steuern"
"Grand Total Incl. Tax","Gesamtsumme inkl. Steuern"
"Flat Rate","Pauschale"
"Fixed","Festpreis"
"Your order has been received.","Wir haben Ihren Auftrag erhalten"
"Thank you for your purchase!","Vielen Dank f¸r Ihre Bestellung!"
"Your order # is:","Ihre Bestellnummer ist:"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Sie erhalten gleich eine Auftragsbest‰tigung per E-Mail.
"Recent Orders","K√ºrzliche Bestellungen"
"View All","Alle anzeigen"
"Order #","Bestellnr."
"Date","Datum"
"Ship To","Versand an"
"Order Total","Bestellwert"
"Status","Status"
"View Order","Bestellung ansehen"
"Last Ordered Items","Letzer bestellter Artikel"
"Shop By","einkaufen nach"
"Price","Preis"
"Manufacturer","Hersteller"
"There are no products matching the selection.","Es sind keine Artikel verf√ºgbar"
"Repair of,""Reparatur von"
"Contact Us","Kontaktieren Sie uns"
"comment","Kommentar"